MODEL_ID,POPULATION_ID,OBSERVATION_ID,SCORE
eltm-pop-1,2,296,0.026906505
eltm-pop-1,2,297,0.026906505
eltm-pop-1,2,298,0.036638644
eltm-pop-1,2,299,0.036638644
eltm-pop-1,3,0,0.036638644
eltm-pop-1,3,1,0.036638644
eltm-pop-1,3,2,0.036638644
eltm-pop-1,3,3,0.12698357
eltm-pop-1,3,4,0.16583808
eltm-pop-1,3,5,0.04109443
eltm-pop-1,3,6,0.16583808
eltm-pop-1,3,7,0.026906505
eltm-pop-1,3,8,0.011570099
eltm-pop-1,3,9,0.10631182
eltm-pop-1,3,10,0.12178734
eltm-pop-1,3,11,0.12178734
eltm-pop-1,3,12,0.12698357
eltm-pop-1,3,13,0.10631182
eltm-pop-1,3,14,0.31007615
eltm-pop-1,3,15,0.31007615
eltm-pop-1,3,16,0.10631182
eltm-pop-1,3,17,0.31007615
eltm-pop-1,3,18,0.036638644
eltm-pop-1,3,19,0.12178734
eltm-pop-1,3,20,0.12178734
eltm-pop-1,3,21,0.16583808
eltm-pop-1,3,22,0.036638644
eltm-pop-1,3,23,0.31007615
eltm-pop-1,3,24,0.0
eltm-pop-1,3,25,0.011570099
eltm-pop-1,3,26,0.12178734
eltm-pop-1,3,27,0.026906505
eltm-pop-1,3,28,0.011570099
eltm-pop-1,3,29,0.12698357
eltm-pop-1,3,30,0.12698357
eltm-pop-1,3,31,0.008496791
eltm-pop-1,3,32,0.011570099
eltm-pop-1,3,33,0.16583808
eltm-pop-1,3,34,0.12698357
eltm-pop-1,3,35,0.011570099
eltm-pop-1,3,36,0.16583808
eltm-pop-1,3,37,0.16583808
eltm-pop-1,3,38,0.16583808
eltm-pop-1,3,39,0.036638644
eltm-pop-1,3,40,0.0
eltm-pop-1,3,41,0.008496791
eltm-pop-1,3,42,0.026906505
eltm-pop-1,3,43,0.10631182
eltm-pop-1,3,44,0.12178734
eltm-pop-1,3,45,0.011570099
eltm-pop-1,3,46,0.036638644
eltm-pop-1,3,47,0.12698357
eltm-pop-1,3,48,0.011570099
eltm-pop-1,3,49,0.011570099
eltm-pop-1,3,50,0.12178734
eltm-pop-1,3,51,0.036638644
eltm-pop-1,3,52,0.026906505
eltm-pop-1,3,53,0.16583808
eltm-pop-1,3,54,0.12178734
eltm-pop-1,3,55,0.026906505
eltm-pop-1,3,56,0.026906505
eltm-pop-1,3,57,0.011570099
eltm-pop-1,3,58,0.12178734
eltm-pop-1,3,59,0.12698357
eltm-pop-1,3,60,0.16583808
eltm-pop-1,3,61,0.011570099
